air_temperature,process_temperature,temperature,rotational_speed,rpm,torque,tool_wear,vibration,pressure,current,operating_hours,failure
27.68,36.96,63.6,1750.2,1749.4,31.39,22.1,0.925,7.471,14.4,5942.3,0
27.71,38.23,68.31,1536.3,1514.8,37.83,9.0,2.886,1.572,16.54,1169.7,0
31.13,41.45,61.67,1099.0,1120.4,54.72,36.5,0.821,6.23,14.71,3300.3,0
26.04,36.64,68.92,1099.2,1139.4,53.52,2.6,0.341,5.721,17.2,1548.8,0
25.83,36.38,59.13,2262.0,2183.8,26.86,86.4,0.476,6.73,7.2,147.5,0
25.22,37.31,66.79,1794.0,1845.0,36.34,99.7,2.4,3.245,19.62,74.7,0
28.08,37.33,66.53,1054.4,1059.3,59.21,27.7,0.879,3.745,14.89,5777.9,0
29.11,37.49,72.95,1558.0,1556.3,39.33,68.8,1.929,8.254,12.8,3194.2,0
26.62,35.57,63.92,1268.3,1314.5,42.83,28.8,2.62,6.481,12.59,4698.4,0
25.17,34.47,56.04,1017.0,1071.3,51.27,105.4,1.058,5.989,16.48,4764.3,0
25.2,34.23,51.69,2229.1,2203.2,27.68,99.2,0.595,4.69,20.65,321.4,0
28.15,38.24,76.45,1944.8,2001.2,31.6,6.7,0.655,3.981,20.33,4856.9,0
28.34,39.59,69.97,1659.5,1668.1,37.76,56.8,4.997,4.431,12.15,2869.9,0
27.94,39.48,81.62,1090.3,1038.2,53.05,19.3,0.698,4.441,17.76,2504.2,0
25.52,36.02,66.69,1169.0,1134.6,51.2,35.4,2.029,6.54,11.77,5278.4,0
27.31,39.46,65.72,1330.2,1369.7,48.2,39.9,2.781,5.983,12.22,5276.7,0
27.08,36.73,80.14,1583.3,1585.7,39.61,2.9,1.939,4.174,14.49,4631.7,0
27.29,35.65,61.65,993.9,911.5,52.3,27.4,5.115,7.295,17.47,2882.8,1
28.59,39.65,67.88,1584.9,1655.6,39.47,17.7,1.441,1.282,17.0,2261.7,0
27.3,35.46,78.55,1361.8,1412.3,46.78,108.7,6.294,2.112,16.97,852.6,1
28.21,37.45,70.16,1127.9,1163.4,50.12,27.2,0.365,6.654,9.22,5835.8,0
26.99,37.51,68.86,1128.2,1116.1,57.97,39.1,2.241,8.08,17.32,6.5,0
27.43,37.33,70.53,1427.3,1471.9,40.44,34.1,4.515,1.335,23.45,4804.3,0
28.11,37.92,73.29,1775.0,1704.0,37.37,87.0,0.029,4.763,17.41,1975.5,0
23.94,32.75,75.42,1152.1,1085.5,53.95,16.5,0.809,8.188,19.68,663.6,0
26.21,36.2,61.7,937.1,930.9,54.72,72.0,1.459,3.097,17.63,265.6,0
25.91,36.91,68.02,1713.6,1708.8,35.57,32.2,3.507,6.915,18.42,829.0,0
25.57,35.59,70.21,1940.7,1945.0,29.95,68.7,4.239,4.996,9.42,580.2,0
26.3,35.47,71.43,1134.9,1021.1,53.19,28.6,0.146,6.966,11.75,3845.4,0
29.84,38.59,68.51,2259.0,2263.7,24.58,28.2,2.591,7.328,19.78,4710.7,0
25.12,34.31,55.15,2485.3,2378.7,24.07,77.8,3.999,6.063,18.47,381.3,0
28.79,39.18,75.11,1418.1,1439.6,38.32,55.6,0.246,4.209,13.81,2446.9,0
23.48,33.83,61.68,1623.3,1517.1,41.02,3.4,2.054,4.024,15.83,703.7,0
26.18,35.38,64.57,1730.8,1787.4,29.4,1.0,4.017,4.754,18.85,1507.5,0
27.18,34.96,64.86,1562.6,1584.0,42.22,8.9,1.156,2.985,16.3,3716.2,0
28.02,38.44,69.36,1515.7,1539.1,42.66,36.4,1.864,6.619,19.0,4777.3,0
28.27,37.37,57.07,1738.4,1740.7,35.2,69.4,1.087,2.63,13.69,725.5,0
28.44,39.13,78.34,960.7,1000.0,60.33,10.9,2.062,7.736,19.43,917.2,0
26.15,35.4,57.59,1532.5,1587.5,44.3,16.7,3.008,4.299,16.32,72.0,0
25.93,34.94,66.61,1192.0,1116.7,51.28,1.8,3.398,5.118,11.23,1780.2,0
28.57,38.72,73.54,2363.9,2272.6,25.44,54.9,0.858,4.61,22.82,5193.4,0
26.47,38.83,55.43,2457.2,2503.3,25.35,14.3,0.478,8.042,23.28,2530.5,0
24.3,35.05,64.87,1402.9,1373.6,44.6,49.5,2.053,6.295,12.93,4615.3,0
24.58,34.72,66.22,995.6,982.8,58.55,59.1,2.409,7.084,13.51,1598.1,0
25.01,35.37,62.19,1913.0,1940.8,29.9,24.4,0.433,4.709,17.89,712.3,0
27.84,36.09,70.94,1564.4,1632.7,41.43,103.3,1.215,6.574,14.48,1505.9,0
27.13,36.01,63.29,2250.4,2282.2,27.65,24.5,3.877,6.652,14.92,33.2,0
28.23,35.72,57.96,1938.1,1996.7,32.81,6.7,1.192,5.596,20.53,5568.7,0
26.0,37.73,71.89,1325.0,1343.3,41.93,2.6,3.215,5.85,10.18,4819.8,0
27.17,38.69,67.71,1837.5,1799.1,35.07,82.6,0.93,5.956,12.68,1629.4,0
28.1,38.49,63.4,2341.6,2383.9,26.94,8.4,3.213,5.886,15.02,5805.4,0
26.23,36.37,60.09,2179.7,2082.8,26.72,21.6,1.483,6.707,15.55,5770.8,0
27.76,36.21,59.69,3023.9,3086.8,21.14,66.6,1.263,4.208,20.76,2557.8,0
25.53,35.31,70.68,1306.2,1282.2,44.77,21.8,1.555,1.046,18.96,1063.0,0
26.12,37.92,72.49,1321.2,1362.1,45.98,13.2,0.78,4.449,12.36,5751.9,0
26.09,36.22,66.4,1175.7,1160.7,45.93,65.4,0.443,4.507,16.63,4174.2,0
24.46,33.89,70.37,1965.3,1892.6,30.91,162.3,1.157,5.869,12.63,890.2,0
27.82,36.07,72.4,1350.8,1374.6,50.06,20.8,7.115,6.466,22.36,5299.5,1
25.91,37.29,66.43,1228.4,1251.9,47.07,37.1,0.273,4.611,13.52,2876.1,0
26.87,36.8,63.51,1384.2,1346.0,40.07,57.3,3.437,2.66,11.09,2157.5,0
27.81,36.05,76.8,1527.2,1566.5,38.43,39.7,1.261,4.561,19.41,1251.9,0
27.74,36.82,65.38,1882.9,1896.4,33.51,37.2,2.46,6.008,7.75,1798.0,0
28.18,36.9,68.85,1490.5,1467.4,41.92,8.6,1.141,7.343,12.83,1605.5,0
26.65,36.52,67.47,984.4,1006.6,56.17,0.2,2.285,4.426,4.73,2445.0,0
26.0,36.21,68.3,1134.7,1137.6,51.38,33.1,2.388,5.35,17.14,5913.9,0
26.69,36.19,69.49,1571.6,1551.4,37.44,58.5,3.833,5.06,11.26,747.6,0
23.48,34.25,55.02,1307.9,1320.2,45.39,10.9,0.28,3.866,20.21,5699.8,0
23.96,34.03,59.5,1963.9,1948.8,28.99,14.2,1.401,6.729,19.52,878.8,0
24.2,35.27,64.8,1265.7,1236.3,47.3,31.1,3.012,6.055,12.81,2949.3,0
24.86,34.5,61.03,1938.5,1874.3,31.69,15.2,1.441,9.38,23.8,24.1,0
27.65,40.69,69.37,1215.2,1232.1,46.9,43.3,1.272,3.732,11.34,650.8,0
25.04,34.47,54.69,897.3,865.8,69.69,2.2,1.176,5.254,10.64,70.2,0
26.09,35.19,64.12,1643.3,1666.4,34.3,13.3,1.6,5.595,12.9,511.4,0
29.45,38.42,70.62,1017.3,1020.2,69.23,33.5,2.356,4.271,15.59,4831.2,0
26.14,35.93,66.86,1237.0,1243.2,44.91,55.9,1.275,7.235,17.89,1952.8,0
28.33,36.61,68.58,1973.7,2021.1,32.5,85.9,3.048,4.925,21.31,1413.9,0
24.98,35.28,66.29,1785.5,1783.9,32.05,21.3,1.831,4.453,15.58,2723.0,0
26.44,34.53,64.97,1011.1,983.0,63.65,79.6,6.785,7.653,15.02,1550.1,1
24.95,35.11,66.43,1219.5,1226.4,44.93,23.5,1.604,3.995,14.78,4303.3,0
26.17,34.82,58.12,1720.0,1747.7,34.34,160.3,2.991,5.887,17.93,3901.9,0
28.53,38.15,76.49,1599.0,1632.4,37.97,48.4,0.881,4.181,11.11,1081.8,0
23.4,34.0,57.93,1358.9,1339.7,44.31,51.7,1.191,4.975,12.34,1491.9,0
27.72,40.02,68.7,1587.8,1711.2,39.91,12.0,0.94,5.476,22.52,2469.2,0
27.33,36.25,65.7,1396.2,1343.4,43.46,76.1,1.208,6.395,11.76,5251.6,0
25.66,35.51,68.06,962.1,947.5,57.74,166.6,1.53,5.517,10.13,2582.4,0
23.96,33.23,69.2,2151.2,2149.0,28.72,35.1,2.976,4.658,21.72,287.1,0
26.99,36.12,72.6,1273.8,1311.0,46.45,23.7,2.353,6.073,16.65,92.6,0
25.79,35.08,69.8,1369.5,1399.3,39.27,3.3,1.504,4.139,19.99,2691.5,0
27.32,38.14,55.42,1754.2,1841.8,35.01,33.1,1.46,7.105,8.81,5981.2,0
26.89,36.41,66.39,1267.5,1314.7,50.72,20.7,2.093,9.778,20.92,3015.1,0
30.05,42.3,69.68,2272.3,2273.2,25.39,89.9,1.141,5.606,0.9,3969.3,0
26.37,36.79,73.54,3342.3,3400.2,16.34,45.0,0.853,6.288,14.85,5145.9,0
24.8,33.79,67.21,1412.9,1410.9,42.25,34.7,2.11,3.677,21.89,1529.9,0
27.21,36.84,74.04,1535.3,1480.7,38.62,57.8,0.877,5.389,20.38,63.5,0
27.29,36.49,67.82,2404.4,2488.0,26.47,39.9,0.709,6.509,18.49,2027.7,0
29.57,40.37,72.3,2680.9,2681.5,22.89,2.2,5.778,6.108,21.55,601.4,0
28.52,36.88,75.07,964.9,917.0,59.31,14.1,5.0,5.237,16.0,1712.8,1
27.56,36.22,59.19,1359.9,1455.4,44.63,13.0,0.172,4.729,10.26,2051.1,0
29.78,39.19,71.26,1522.3,1551.7,40.2,86.2,1.418,5.066,13.17,382.2,0
24.47,35.16,72.95,948.1,980.2,61.95,53.3,2.251,5.067,9.81,1834.3,0
25.57,36.8,62.83,1102.0,1029.1,50.22,99.9,1.31,4.301,14.09,4441.5,0
25.0,36.38,64.83,922.7,994.6,57.69,32.1,1.142,7.23,9.21,3988.6,0
26.07,36.6,65.71,2039.4,1969.0,28.2,43.9,4.739,6.853,18.59,1417.4,0
24.1,34.01,57.98,2161.5,2248.3,27.83,3.9,0.934,3.611,7.6,267.3,0
28.12,38.91,66.1,1308.7,1276.5,46.17,73.6,1.542,8.569,13.39,2401.8,0
26.41,35.26,60.95,1545.0,1483.6,44.14,49.8,1.223,6.729,12.28,3179.7,0
23.91,32.06,59.29,1006.7,1083.0,52.5,135.2,4.634,5.035,15.02,209.0,1
24.82,35.26,54.72,2684.4,2588.4,23.69,10.2,1.255,5.16,14.03,1723.9,0
27.48,36.47,68.77,1180.7,1206.5,47.04,52.5,2.032,5.27,21.26,3750.7,0
28.53,38.46,70.14,1224.7,1191.2,49.89,36.7,1.56,3.748,13.26,2434.5,0
30.84,40.96,66.97,1025.8,1103.7,49.36,53.6,1.108,2.877,10.43,3607.9,0
32.68,42.93,72.47,1608.6,1585.4,35.93,20.6,0.493,4.577,16.76,4605.2,0
27.68,38.62,60.76,1359.1,1371.4,45.19,5.4,0.065,6.895,14.58,1991.4,0
24.87,35.7,70.52,1932.3,1843.3,32.24,11.9,2.18,3.048,14.42,3406.9,0
22.59,32.78,66.36,1750.7,1759.5,37.07,92.4,0.717,5.264,13.63,5897.8,0
27.39,36.94,73.78,1786.9,1860.2,29.57,106.6,1.559,4.954,13.53,3990.0,0
25.22,35.33,62.98,1980.2,2083.3,32.41,8.7,0.492,4.728,15.47,5396.3,0
26.02,35.42,74.19,1640.4,1714.9,37.59,74.5,2.664,4.964,11.85,4379.6,0
25.63,35.43,69.0,1518.4,1609.3,35.09,21.4,2.584,6.55,17.96,5681.8,0
26.57,39.19,79.32,1785.9,1796.4,32.41,10.2,0.768,4.166,24.49,3780.8,0
28.98,39.16,74.81,2296.1,2292.8,27.0,91.1,2.349,4.865,12.44,5993.7,0
27.16,37.61,61.91,1050.6,1026.7,59.61,52.3,2.65,6.192,14.51,37.2,0
26.53,35.83,68.03,1452.0,1395.9,34.99,64.0,3.573,4.179,17.03,5907.5,0
24.78,35.8,75.83,1314.5,1343.5,43.3,20.7,0.528,6.596,18.33,5920.1,0
23.5,34.26,59.45,2865.1,2891.9,22.41,47.8,1.131,7.398,17.19,807.3,0
25.88,36.64,67.26,1172.1,1186.3,53.58,22.5,1.417,4.642,11.18,5539.3,0
26.74,36.96,65.14,1408.8,1450.4,41.67,124.0,1.209,7.213,8.28,1001.7,0
30.39,41.42,67.94,1666.0,1609.6,35.56,34.7,3.983,4.331,9.08,5822.1,0
27.11,38.38,66.84,1723.9,1715.7,35.65,4.0,2.065,3.141,18.0,2700.2,0
28.82,39.1,72.29,1344.2,1393.7,48.69,3.3,0.687,7.992,13.33,3623.5,0
25.85,35.74,63.77,3342.3,3274.2,10.47,5.5,4.73,5.549,12.18,2193.7,0
24.48,35.37,54.46,1935.2,1901.0,31.76,45.5,2.233,5.804,13.44,5656.4,0
24.92,34.02,64.67,1562.5,1606.7,38.81,16.4,1.163,4.596,17.26,3573.4,0
25.4,34.68,73.68,1598.5,1553.6,38.69,23.0,0.341,4.063,21.43,5625.4,0
31.11,41.05,70.78,879.8,876.8,65.05,38.7,1.272,5.47,12.18,1198.0,0
25.21,33.47,67.03,1647.6,1578.3,36.62,26.2,3.432,8.676,10.77,2786.5,0
28.53,39.35,66.34,1026.8,988.7,49.9,64.0,1.518,4.899,16.37,4110.8,0
25.04,34.08,66.62,1077.4,1204.5,58.12,91.5,1.207,7.088,16.24,1558.6,0
28.71,38.24,72.64,1273.7,1230.9,46.71,87.2,2.068,8.651,12.9,4307.2,0
27.62,37.41,64.97,1862.1,1887.1,33.26,72.8,1.347,5.282,17.79,408.3,0
26.54,36.58,62.51,2279.3,2299.0,27.16,52.0,2.447,5.617,16.37,12.9,0
26.77,36.42,69.84,1362.6,1333.4,47.45,79.4,2.759,5.041,11.01,15.5,0
25.54,35.47,70.02,1081.0,1106.2,56.45,29.0,0.759,4.653,14.08,4016.1,0
27.74,37.68,72.22,1307.6,1188.7,45.46,24.9,3.122,4.69,19.37,3965.7,0
25.94,35.49,74.42,1088.5,1182.2,52.33,52.2,0.758,1.909,18.83,49.5,0
24.4,33.63,62.0,959.3,928.1,65.92,133.9,1.698,4.809,15.8,2573.2,0
24.29,35.38,68.27,1222.3,1164.5,48.37,67.9,4.099,4.367,25.12,3492.5,0
27.2,35.09,64.15,1966.8,1921.2,28.99,65.7,1.639,5.608,16.38,1808.2,0
30.01,39.8,65.86,1393.1,1323.2,40.51,32.5,0.346,9.184,16.32,4034.3,0
27.17,36.7,68.91,1188.4,1178.5,53.7,22.1,1.787,6.18,13.82,3491.1,0
26.61,37.03,65.99,1567.0,1590.5,37.51,15.3,2.517,5.917,14.27,861.6,0
27.42,35.97,67.59,1030.6,998.9,55.06,3.9,6.886,5.531,18.12,3236.0,1
29.46,38.96,75.52,1534.9,1516.7,39.33,16.0,3.073,6.42,12.59,4926.3,0
27.29,37.19,73.65,1233.7,1306.0,43.34,4.5,1.744,5.526,17.87,4708.8,0
26.03,37.1,53.9,1743.2,1723.2,36.49,4.1,2.777,4.246,17.94,623.5,0
29.06,39.39,70.22,1593.9,1624.9,41.6,9.5,0.69,6.165,9.36,5822.7,0
27.71,36.52,68.51,1323.0,1228.5,42.12,48.1,2.411,4.066,9.0,2353.2,0
29.92,39.43,74.45,2316.3,2340.1,23.91,80.1,1.098,4.963,13.85,1856.9,0
27.22,38.1,65.38,1646.3,1641.7,35.58,153.8,3.559,5.227,22.09,4179.0,0
24.4,33.2,62.7,2292.9,2291.0,27.67,2.2,1.717,5.09,22.43,4228.5,0
24.11,34.04,62.12,1726.4,1645.4,35.93,33.5,1.191,7.92,0.0,4751.0,0
30.15,40.14,66.7,1938.8,1953.7,32.05,8.8,2.798,6.973,15.98,3139.7,0
30.3,39.91,66.25,1048.1,1058.2,50.12,43.2,1.611,3.749,15.13,4912.2,0
26.49,39.19,60.56,1217.8,1247.7,50.23,21.4,0.335,4.079,11.21,3349.7,0
26.08,35.67,60.24,1484.2,1552.6,45.6,79.0,0.635,5.863,14.36,1166.1,0
29.77,40.22,64.35,2168.9,2096.7,27.32,2.7,5.217,7.66,12.28,1043.7,0
24.64,33.87,62.45,1406.7,1412.7,39.02,114.8,2.004,4.989,14.12,229.5,0
25.06,35.59,67.58,2173.7,2138.8,26.53,78.3,1.775,3.501,14.3,3683.5,0
28.14,39.01,64.39,1466.4,1557.3,38.53,41.1,1.341,5.868,10.57,1729.2,0
26.06,35.47,70.63,1205.1,1195.2,46.47,5.0,1.976,5.019,14.07,1189.0,0
26.84,36.79,55.96,1279.5,1340.0,49.92,79.6,2.163,8.533,13.93,2474.6,0
26.52,35.63,66.64,1263.1,1225.2,44.73,21.5,0.434,4.265,17.75,1704.4,0
27.53,36.38,62.46,1127.5,1114.0,52.58,40.1,1.176,3.991,15.68,1845.1,0
29.66,40.7,71.17,1322.0,1236.7,42.6,91.1,0.821,4.825,18.15,1629.5,0
27.03,36.48,67.2,1666.6,1706.4,37.66,102.5,0.47,4.015,16.89,5702.5,0
28.14,35.72,66.67,1192.4,1105.9,48.74,11.4,3.007,6.462,22.24,2890.0,1
22.75,34.52,70.74,1155.5,1155.4,49.06,113.6,5.545,5.116,13.79,2489.2,0
26.75,35.95,63.17,1744.8,1786.4,34.76,22.9,7.23,7.01,18.68,4231.8,0
25.16,34.92,61.82,1447.3,1458.9,43.79,3.0,5.46,9.353,15.3,1389.0,0
24.41,36.05,60.48,1688.4,1582.7,37.06,13.7,2.799,5.066,21.1,3518.0,0
25.09,34.95,62.16,3007.4,2990.5,19.91,125.2,1.863,3.486,16.46,3627.2,0
26.18,36.02,66.79,1385.4,1447.2,44.4,13.1,1.037,4.782,11.17,3514.8,0
28.68,37.45,62.57,2315.0,2342.6,27.05,38.7,1.197,4.365,14.76,256.8,0
24.2,32.56,47.94,1460.1,1447.8,43.28,23.1,0.521,6.524,14.21,2826.5,0
26.91,36.74,70.77,2456.0,2404.4,24.65,84.9,1.427,6.344,11.72,653.7,0
25.88,36.24,62.09,1690.6,1712.2,32.8,27.4,0.306,6.357,13.13,5242.8,0
26.19,36.5,64.58,1847.3,1825.5,35.66,25.1,1.714,5.346,6.64,3115.2,0
28.86,38.37,59.18,1160.0,1113.6,52.02,99.4,0.552,5.021,12.64,5727.7,0
27.93,37.95,63.06,1894.2,1882.2,34.66,69.2,2.931,6.922,17.73,5999.1,0
29.52,37.69,62.4,2002.9,2036.9,29.25,6.4,1.114,7.162,17.23,3374.6,0
26.54,37.0,63.97,1509.6,1476.9,43.64,52.6,3.468,8.26,12.95,4678.4,0
25.46,35.62,51.32,1608.0,1606.7,37.83,20.8,3.5,7.122,16.46,4007.3,0
26.4,38.38,69.66,1257.7,1243.0,47.91,4.5,2.325,5.83,20.07,2710.2,0
27.33,37.34,72.72,1960.8,1900.6,29.88,24.7,3.878,4.175,12.06,1459.0,0
27.2,36.26,67.99,1439.9,1424.4,42.11,30.2,1.647,7.006,9.17,773.9,0
24.68,34.63,65.79,1010.0,1013.3,64.7,16.5,3.325,5.526,15.08,467.5,0
27.03,36.7,66.48,1560.6,1567.1,37.61,3.2,2.0,5.933,20.35,2446.1,0
27.31,37.74,72.34,1509.2,1563.9,41.87,32.2,3.481,5.533,20.11,3422.2,0
31.88,41.91,60.83,2546.9,2557.9,23.39,24.0,1.819,2.314,14.22,5955.9,0
30.6,39.34,80.43,2063.7,2012.3,31.47,4.8,3.217,6.842,17.98,4035.0,0
25.14,33.51,64.93,1273.3,1304.3,44.6,36.6,7.995,4.944,16.06,4376.0,1
26.28,36.54,71.91,1589.0,1558.6,36.7,93.0,1.803,5.988,22.93,4786.8,0
23.92,35.31,59.12,1361.3,1315.6,46.14,109.5,0.794,6.16,17.19,3771.6,0
25.67,35.75,58.3,1423.1,1506.4,44.25,7.7,3.238,4.903,8.8,3223.1,0
27.48,38.29,66.29,2340.3,2356.4,26.82,31.3,1.803,6.869,13.44,298.9,0
29.26,40.27,65.28,1335.1,1324.9,50.15,7.4,3.368,8.493,15.3,228.8,0
25.39,35.66,61.01,2177.3,2150.7,27.57,67.6,1.053,5.163,11.12,1419.2,0
25.54,34.73,62.46,1889.1,1933.9,32.35,0.1,0.31,4.956,15.97,2838.9,0
22.56,32.75,61.38,1380.3,1453.4,42.29,25.6,0.247,5.467,12.97,2461.5,0
26.52,37.73,64.08,977.3,1029.6,55.67,11.1,0.776,6.338,17.63,5787.1,0
24.73,35.26,69.45,2015.4,2061.3,29.96,20.2,3.316,4.541,10.95,2389.9,0
25.79,36.54,69.73,1413.1,1434.5,41.48,51.0,1.155,4.726,13.94,2123.1,0
25.1,34.63,65.85,1342.6,1266.8,41.56,3.3,2.258,5.413,19.84,4721.2,0
26.66,36.46,75.93,1208.0,1187.0,46.57,14.2,2.193,4.452,15.39,2824.2,0
23.33,33.22,62.98,1243.8,1272.5,51.84,37.3,0.177,4.552,15.92,4151.9,0
23.92,33.86,71.59,1605.4,1582.4,35.96,6.3,2.385,6.285,11.22,3203.1,0
31.11,42.28,74.04,1253.6,1215.3,50.12,72.3,2.321,4.407,13.76,3650.1,0
24.28,31.93,56.97,1095.9,1084.3,53.3,37.3,6.295,6.318,13.88,3566.7,1
24.66,34.69,64.84,1134.3,1075.1,57.84,10.2,1.991,4.007,14.46,532.6,0
30.52,40.44,62.42,1439.9,1348.4,45.02,5.7,3.87,5.716,24.38,1641.2,0
32.66,41.29,74.42,1667.3,1658.5,41.57,18.4,1.632,4.304,17.81,4197.7,0
24.51,35.18,62.73,1740.1,1765.2,35.25,29.2,2.851,5.359,16.18,583.5,0
26.11,35.39,73.2,2269.4,2275.2,25.41,10.6,1.403,7.576,13.36,898.9,0
27.53,37.18,61.98,1631.9,1728.3,37.22,19.3,5.382,4.345,12.86,1940.3,0
30.31,42.16,69.55,1499.4,1543.7,41.12,124.4,0.691,4.131,15.5,772.1,0
24.88,35.89,59.41,1571.3,1593.5,38.91,2.6,1.824,5.89,17.34,5077.5,0
26.36,36.93,71.23,1398.9,1445.2,45.98,7.9,0.395,5.026,15.45,1009.4,0
28.4,38.79,77.18,2292.8,2187.2,25.46,16.2,2.16,9.86,12.35,680.7,0
27.72,37.55,69.97,1557.4,1469.8,38.18,14.0,0.237,3.186,15.6,3587.3,0
26.1,38.1,64.63,958.0,977.3,59.95,10.3,1.486,5.503,17.92,4134.5,0
26.58,37.38,61.24,1175.9,1244.2,49.96,11.8,4.314,9.376,19.93,4433.3,0
24.1,33.35,68.16,1224.4,1138.3,46.16,81.4,2.837,5.95,19.41,1671.5,0
26.37,34.97,58.03,1423.2,1339.9,43.91,64.5,0.474,5.938,13.39,478.3,0
26.32,36.88,76.03,1583.9,1620.7,36.35,14.9,3.622,3.188,4.44,5900.2,0
27.31,37.26,72.51,2951.5,2951.9,22.46,23.0,1.462,4.97,10.19,1462.9,0
25.74,34.31,65.18,1359.5,1368.2,44.57,51.5,5.561,6.132,10.88,2188.9,1
27.79,38.22,70.46,3342.3,3317.4,15.52,10.7,1.239,2.353,15.73,1106.1,0
28.88,38.61,76.44,1645.8,1600.6,36.74,15.5,1.159,6.89,10.89,648.4,0
27.16,37.69,58.51,1624.2,1599.0,39.96,29.9,0.649,3.952,12.15,4533.9,0
27.55,38.0,71.25,1767.7,1759.7,35.53,6.3,1.11,7.366,13.5,4280.0,0
26.96,36.35,58.05,1014.0,941.9,61.71,10.5,1.425,2.644,27.64,5449.5,0
26.85,37.48,63.41,1148.1,1075.7,58.24,42.3,0.201,6.407,21.24,2126.2,0
25.41,34.91,71.93,1157.2,1135.9,50.33,25.9,0.879,6.898,13.49,2988.7,0
27.48,37.05,68.84,2002.0,2088.8,30.75,20.3,2.54,3.834,22.36,2140.3,0
26.66,36.12,62.43,939.1,882.6,59.21,64.8,1.422,6.736,15.51,5395.4,0
31.04,42.17,76.93,1403.2,1411.5,46.19,18.0,2.843,5.221,12.05,610.1,0
30.0,39.72,68.33,1950.6,1938.9,30.58,32.0,0.349,3.828,16.77,5905.7,0
27.62,38.99,76.73,1378.1,1323.5,40.33,119.9,0.333,3.895,11.2,1344.1,0
25.32,37.11,59.35,1261.5,1243.5,49.59,35.3,1.874,5.312,7.15,743.8,0
24.63,33.89,60.8,1939.5,1939.5,34.01,18.0,0.772,5.715,6.69,258.8,0
29.23,36.31,70.86,1452.3,1466.1,41.41,4.7,0.844,6.516,19.48,4774.2,0
27.38,38.42,68.4,1371.3,1348.4,43.16,22.3,1.105,5.311,14.39,4354.3,0
27.81,37.47,53.87,2143.6,2189.1,28.99,11.9,0.894,6.526,10.63,4850.2,0
23.36,32.49,48.17,1517.7,1491.1,37.3,23.8,1.206,5.821,16.44,5032.2,0
28.7,38.12,68.39,1899.5,1844.7,29.75,11.1,2.101,5.529,9.04,3697.4,0
27.76,37.34,81.3,1171.6,1267.9,48.69,1.4,7.083,3.561,10.63,259.4,0
24.63,35.93,63.52,2057.3,2059.7,30.92,6.7,0.902,4.012,16.76,307.6,0
